"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","2","20","0","Running","-00.000","11","","1:57.859","1:57.098","3","11","3","0","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","3","97","0","Running","-03.609","0","","1:58.187","1:57.600","5","11","6","0","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","1","46","0","Running","-06.674","0","","1:58.466","1:57.894","2","11","9","0","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","381704","381704","Rolf Andersen","5","92","0","Running","-15.418","0","","1:59.261","1:58.511","6","11","3","0","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","22","38","0","Running","-18.724","0","","1:59.560","1:58.300","6","11","1","0","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389360","389360","Josh Clogg","21","13","0","Running","-18.896","0","","1:59.575","1:58.332","9","11","3","0","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407841","407841","Bastien Mattler","4","98","0","Running","-19.318","0","","1:59.615","1:58.233","3","11","5","0","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449337","449337","Jack M Wilson","14","29","0","Running","-20.205","0","","1:59.695","1:58.045","7","11","13","0","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","266853","266853","Jonathon White","24","777","0","Running","-22.154","0","","1:59.871","1:57.269","6","11","7","0","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","17","55","0","Running","-24.240","0","","2:00.061","1:58.680","3","11","15","0","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","9","18","0","Running","-29.937","0","","2:00.580","1:58.566","2","11","4","10","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","30","225","0","Running","-31.429","0","","2:00.714","1:57.884","11","11","4","9","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","305901","305901","Jordan A Pearce","10","198","0","Running","-32.685","0","","2:00.829","1:59.256","11","11","9","8","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","27","24","0","Running","-34.603","0","","2:01.003","1:59.210","11","11","5","7","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","6","63","0","Running","-35.539","0","","2:01.090","1:58.908","10","11","9","6","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","13","23","0","Running","-35.993","0","","2:01.130","1:59.352","7","11","18","5","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","12","912","0","Running","-40.383","0","","2:01.530","1:58.724","6","11","19","4","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","345510","345510","Nelson Costa De Sousa","8","919","0","Running","-45.899","0","","2:02.031","1:57.525","4","11","17","3","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","397377","397377","Josua Ali-Keskikyl�","28","83","0","Running","-48.109","0","","2:02.230","1:58.808","4","11","14","2","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389637","389637","Yvo de Brouwer","19","95","0","Running","-56.933","0","","2:03.033","1:59.327","5","11","8","1","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","26","7","0","Running","-57.804","0","","2:03.112","2:00.048","6","11","10","0","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","426005","426005","Louie Eggertsen","15","27","0","Running","-1:08.591","0","","2:04.094","1:57.898","3","11","15","0","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","16","36","0","Running","-1:12.026","0","","2:04.173","1:59.058","4","11","17","0","100","0"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","20","906","0","Running","-1:15.328","0","","1:59.404","1:59.058","4","11","1","0","100","0"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","439830","439830","Aden Brand","25","242","0","Running","-00.000","0","","2:19.576","1:59.403","9","10","6","0","100","0"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","31","15","32","Disconnected","-00.000","0","","2:01.515","1:57.723","6","7","5","0","100","0"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","403109","403109","Onuray Sahin","32","78","0","Running","-00.000","0","","2:11.921","","","4","11","0","100","0"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","315629","315629","Freddie Skitini","23","6","0","Running","-00.000","0","","00.000","","","3","4","0","100","0"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","18","555","0","Running","-00.000","0","","2:06.991","","","2","6","0","100","0"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","425868","425868","Mark Jones12","11","77","32","Disconnected","-00.000","0","","00.000","","","1","1","0","100","0"
"31","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","145688","145688","Alex Kraeter","7","791","32","Disconnected","-00.000","0","","00.000","","","0","0","0","100","0"
"32","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","335602","335602","Tiago Mendes","29","259","32","Disconnected","-00.000","0","","00.000","","","0","0","0","100","0"
