"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","1","729","0","Running","-00.000","16","","1:57.039","1:56.728","4","16","9","150","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","302270","302270","Tim Matzke","3","8","0","Running","-05.965","0","","1:57.411","1:56.997","4","16","6","120","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","4","9","0","Running","-06.727","0","","1:57.459","1:56.991","14","16","12","100","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","5","2","0","Running","-07.262","0","","1:57.492","1:56.909","3","16","15","80","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","7","44","0","Running","-13.162","0","","1:57.861","1:57.320","6","16","7","60","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","9","199","0","Running","-19.638","0","","1:58.265","1:57.632","9","16","13","55","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","10","43","0","Running","-20.018","0","","1:58.289","1:57.503","5","16","10","50","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","21","20","0","Running","-20.812","0","","1:58.338","1:57.337","11","16","5","45","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","266853","266853","Jonathon White","29","777","0","Running","-23.817","0","","1:58.525","1:57.336","12","16","14","35","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","107624","107624","Yoep de Ligt","14","19","0","Running","-24.058","0","","1:58.542","1:57.492","6","16","11","34","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","17","3","0","Running","-36.063","0","","1:59.292","1:57.881","11","16","13","33","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407841","407841","Bastien Mattler","27","98","0","Running","-38.095","0","","1:59.418","1:58.311","13","16","7","32","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","19","33","0","Running","-38.416","0","","1:59.439","1:58.543","7","16","19","31","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","22","97","0","Running","-38.698","0","","1:59.456","1:57.929","5","16","9","30","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","8","28","0","Running","-39.373","0","","1:59.499","1:57.683","3","16","18","29","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","15","14","0","Running","-39.777","0","","1:59.524","1:57.788","11","16","12","28","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","389360","389360","Josh Clogg","26","13","0","Running","-40.086","0","","1:59.543","1:58.284","5","16","18","27","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","328174","328174","Tom Metherell","12","117","0","Running","-41.830","0","","1:59.652","1:58.098","9","16","14","26","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449337","449337","Jack M Wilson","28","29","0","Running","-48.081","0","","2:00.042","1:58.517","12","16","13","25","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","16","37","0","Running","-54.722","0","","2:00.458","1:58.338","3","16","12","24","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","25","38","0","Running","-1:01.074","0","","2:00.854","1:59.019","3","16","10","23","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","18","17","0","Running","-1:18.225","0","","2:01.927","1:58.920","3","16","6","22","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","381704","381704","Rolf Andersen","24","92","0","Running","-2:09.952","0","","2:03.061","1:59.614","12","16","20","21","100","0"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","11","119","32","Disconnected","-1 L","0","","1:58.486","1:57.731","13","15","7","20","100","0"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","316142","316142","Airijus Jomantas","20","71","0","Running","-1 L","0","","2:02.905","1:59.230","11","15","15","19","100","0"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","6","68","32","Disconnected","-14 L","0","","2:14.087","","","2","10","18","100","0"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","23","46","32","Disconnected","-14 L","0","","2:06.650","","","2","8","17","100","0"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255667","255667","Diogo Francisco","2","48","32","Disconnected","-14 L","0","","2:02.343","","","2","4","16","100","0"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","30","55","0","Running","-14 L","0","","2:08.964","","","2","3","15","100","0"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","260613","260613","Alan Powell","13","26","32","Disconnected","-16 L","0","","00.000","","","0","0","14","100","0"
