"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","2","68","0","Running","-00.000","13","","1:35.712","1:34.871","7","13","9","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","1","729","0","Running","-04.215","0","","1:36.037","1:34.874","7","13","10","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","5","28","0","Running","-08.343","0","","1:36.354","1:35.264","3","13","9","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","8","97","0","Running","-09.805","0","","1:36.466","1:35.079","5","13","2","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","232715","232715","Anders Myhre","3","20","0","Running","-10.348","0","","1:36.508","1:35.085","3","13","4","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","11","33","0","Running","-16.615","0","","1:36.990","1:35.726","6","13","7","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","10","15","0","Running","-16.994","0","","1:37.019","1:35.556","3","13","5","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","9","225","0","Running","-19.228","0","","1:37.191","1:35.514","3","13","6","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","345510","345510","Nelson Costa De Sousa","15","919","0","Running","-19.943","0","","1:37.246","1:35.986","11","13","11","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","4","991","0","Running","-22.742","0","","1:37.519","1:36.125","13","13","13","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","13","17","0","Running","-23.333","0","","1:37.506","1:36.150","13","13","3","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","7","43","0","Running","-25.832","0","","1:37.639","1:35.471","4","13","4","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","6","38","0","Running","-27.016","0","","1:37.790","1:35.743","3","13","11","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","12","46","0","Running","-35.766","0","","1:38.463","1:36.551","6","13","13","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","145688","145688","Alex Kraeter","20","791","0","Running","-41.704","0","","1:38.756","1:36.204","4","13","10","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","14","37","0","Running","-41.966","0","","1:38.940","1:36.736","9","13","13","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","425868","425868","Mark Jones12","16","77","0","Running","-44.053","0","","1:39.100","1:36.433","3","13","8","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449337","449337","Jack M Wilson","19","29","0","Running","-52.939","0","","1:38.168","1:36.565","4","13","12","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","305901","305901","Jordan A Pearce","17","198","0","Running","-58.118","0","","1:40.182","1:37.066","3","13","11","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","18","24","32","Disconnected","-00.000","0","","1:39.946","1:36.354","5","9","7","","100","0"
