"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","0","54","0","Running","-00.000","0","","1:38.853","1:35.246","7","17","4","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","0","68","0","Running","-00.167","0","","1:43.543","1:35.413","9","18","13","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.323","0","","1:38.129","1:35.569","17","22","4","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-00.335","0","","1:39.929","1:35.581","22","23","10","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","0","2","0","Running","-00.515","0","","1:41.330","1:35.761","19","27","15","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","0","14","0","Running","-00.606","0","","1:39.662","1:35.852","7","22","5","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","0","225","0","Running","-00.690","0","","1:36.402","1:35.936","9","12","4","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","-00.696","0","","1:37.208","1:35.942","4","18","9","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","-00.770","0","","1:42.186","1:36.016","8","14","6","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","0","23","0","Running","-00.803","0","","1:37.131","1:36.049","17","18","9","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.850","0","","1:38.708","1:36.096","15","21","13","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","260613","260613","Alan Powell","0","26","0","Running","-00.865","0","","1:36.971","1:36.111","10","19","6","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","0","3","0","Running","-00.966","0","","1:41.850","1:36.213","26","26","11","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331632","331632","Pascal Costa","0","801","0","Running","-01.003","0","","1:43.519","1:36.249","4","22","14","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-01.051","0","","1:37.781","1:36.297","5","9","1","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-01.169","0","","1:38.986","1:36.415","4","16","5","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","0","43","0","Running","-01.362","0","","1:38.750","1:36.608","10","18","7","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","0","15","0","Running","-01.415","0","","1:37.251","1:36.661","16","22","13","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","0","38","0","Running","-01.449","0","","1:40.728","1:36.696","10","25","12","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","0","555","0","Running","-01.479","0","","1:39.073","1:36.725","22","22","12","","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","0","55","0","Running","-01.670","0","","1:40.083","1:36.917","6","19","12","","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","0","906","0","Running","-01.852","0","","1:39.740","1:37.099","10","14","3","","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","0","46","0","Running","-01.941","0","","1:40.749","1:37.188","10","19","28","","100","0"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","0","37","0","Running","-02.175","0","","1:45.478","1:37.421","14","14","7","","100","0"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","346133","346133","Tristan Martz","0","18","0","Running","-02.571","0","","1:38.578","1:37.817","7","7","1","","100","0"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","0","17","0","Running","-02.959","0","","1:46.101","1:38.205","7","17","10","","100","0"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","0","36","0","Running","-03.243","0","","1:46.777","1:38.489","3","17","21","","100","0"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","425868","425868","Mark Jones12","0","77","0","Running","-03.281","0","","1:43.081","1:38.527","7","15","19","","100","0"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","0","7","0","Running","-03.940","0","","1:39.978","1:39.187","11","12","6","","100","0"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","276814","276814","Karsten van Eijck","0","911","0","Running","-04.922","0","","1:40.169","1:40.169","2","2","4","","100","0"
"31","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","0","912","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
