"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","255919","255919","Alexander Thiebe","0","54","0","Running","-00.000","0","1:37.888","1:38.014","1:37.888","4","4","2","","100","0"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","367245","367245","Dylan Birse","0","68","0","Running","-00.143","0","1:38.031","1:38.948","1:38.031","3","4","1","","100","0"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","97564","97564","Maxim Ramsteijn","0","729","0","Running","-00.147","0","1:38.036","1:38.251","1:38.036","4","4","1","","100","0"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","28","0","Running","-00.482","0","1:38.370","1:38.590","1:38.370","2","4","2","","100","0"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","220235","220235","Justin Tipton","0","2","0","Running","-00.579","0","1:38.467","1:38.639","1:38.467","2","4","0","","100","0"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","291217","291217","Kieran Harrison","0","9","0","Running","-00.631","0","1:38.520","1:38.745","1:38.520","2","3","4","","100","0"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin �stlund","0","44","0","Running","-00.693","0","1:38.582","1:38.864","1:38.582","4","4","1","","100","0"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","421524","421524","Quentiin Vialatte","0","991","0","Running","-00.698","0","1:38.587","1:38.845","1:38.587","3","3","2","","100","0"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341052","341052","Justin Rehm","0","912","0","Running","-00.781","0","1:38.670","1:39.273","1:38.670","4","4","2","","100","0"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342918","342918","Espen Erlandsen","0","14","0","Running","-00.844","0","1:38.733","1:40.330","1:38.733","2","3","2","","100","0"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","323777","323777","Rasmus Busk","0","222","0","Running","-00.850","0","1:38.738","1:38.948","1:38.738","3","5","0","","100","0"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","66921","66921","Jordan Weekes","0","959","0","Running","-00.912","0","1:38.800","1:39.652","1:38.800","3","4","2","","100","0"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331632","331632","Pascal Costa","0","801","0","Running","-00.921","0","1:38.809","1:38.809","1:38.809","3","3","2","","100","0"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138514","138514","Artem Grabow","0","43","0","Running","-01.089","0","1:38.978","1:39.457","1:38.978","4","4","0","","100","0"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-01.091","0","1:38.979","1:39.349","1:38.979","3","3","3","","100","0"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","322065","322065","Jose Manuel Padin","0","119","0","Running","-01.153","0","1:39.042","1:39.105","1:39.042","1","4","3","","100","0"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","260613","260613","Alan Powell","0","26","0","Running","-01.166","0","1:39.055","1:39.378","1:39.055","2","2","1","","100","0"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","84986","84986","Oscar Wilkens","0","33","0","Running","-01.257","0","1:39.146","1:39.420","1:39.146","4","4","1","","100","0"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","466380","466380","Gavin Halls","0","38","0","Running","-01.276","0","1:39.165","1:39.580","1:39.165","2","4","0","","100","0"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","404419","404419","Thomas Guldalian","0","3","0","Running","-01.321","0","1:39.210","1:39.392","1:39.210","2","3","4","","100","0"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","365706","365706","Michael Pedersen3","0","199","0","Running","-01.323","0","1:39.212","1:39.498","1:39.212","3","3","5","","100","0"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","32807","32807","Ivo Laubscher","0","46","0","Running","-01.424","0","1:39.313","1:39.743","1:39.313","2","2","2","","100","0"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342188","342188","Tobias Maisel","0","15","0","Running","-01.434","0","1:39.323","1:42.368","1:39.323","4","4","2","","100","0"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","174512","174512","Ryan Parkins","0","225","0","Running","-01.486","0","1:39.375","1:39.712","1:39.375","3","4","3","","100","0"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331615","331615","Hugo Gallo","0","23","0","Running","-01.504","0","1:39.393","1:39.991","1:39.393","3","4","3","","100","0"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","329240","329240","Kirill Kolobuxov","0","555","0","Running","-01.734","0","1:39.622","1:39.875","1:39.622","3","4","0","","100","0"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","282802","282802","Ross Yost","0","66","0","Running","-01.832","0","1:39.721","1:40.057","1:39.721","2","3","0","","100","0"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229161","229161","Martin Donati","0","17","0","Running","-01.922","0","1:39.811","1:39.868","1:39.811","3","3","2","","100","0"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","276814","276814","Karsten van Eijck","0","911","0","Running","-02.030","0","1:39.919","1:39.919","1:39.919","2","2","1","","100","0"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","341072","341072","Ivan Harasta","0","63","0","Running","-02.193","0","1:40.081","1:40.954","1:40.081","3","3","2","","100","0"
"31","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424647","424647","Martin Spalek","0","906","0","Running","-02.573","0","1:40.462","1:43.721","1:40.462","2","4","0","","100","0"
"32","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","416184","416184","Jacob Robotham","0","7","0","Running","-03.285","0","1:41.174","1:41.480","1:41.174","3","4","0","","100","0"
"33","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","75474","75474","Brian Lockwood","0","143","0","Running","-00.000","0","","00.000","","","4","10","","100","0"
"34","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","318258","318258","Cl�ment Andrieu","0","37","0","Running","-00.000","0","","00.000","","","1","2","","100","0"
"35","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","354110","354110","Hendryk Lichtenhagen","0","55","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
"36","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","334613","334613","Dane Baird","0","36","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
