Fin Pos,Car ID,Car,Car Class ID,Car Class,Team ID,Cust ID,Name,Start Pos,Car #,Out ID,Out,Interval,Laps Led,Qualify Time,Average Lap Time,Fastest Lap Time,Fast Lap#,Laps Comp,Inc,League Points,Max Fuel Fill%,Weight Penalty (KG)
1,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,255919,255919,Alexander Thiebe,1,54,0,Running,0,13,,2:20.801,2:20.237,3,13,16,150,100,0
2,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,97564,97564,Maxim Ramsteijn,2,729,0,Running,-1.357,0,,2:20.906,2:20.630,6,13,19,120,100,0
3,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,75474,75474,Brian Lockwood,3,143,0,Running,-3.766,0,,2:21.091,2:21.315,12,13,19,100,100,0
4,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,323777,323777,Rasmus Busk,6,222,0,Running,-12.797,0,,2:21.785,2:21.294,7,13,17,80,100,0
5,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,42739,42739,Robin �stlund,9,44,0,Running,-14.188,0,,2:21.892,2:21.391,5,13,19,60,100,0
6,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,291217,291217,Kieran Harrison,7,9,0,Running,-14.223,0,,2:21.895,2:21.256,6,13,18,55,100,0
7,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,421524,421524,Quentiin Vialatte,10,991,0,Running,-20.008,0,,2:22.340,2:21.132,4,13,15,50,100,0
8,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,331632,331632,Pascal Costa,8,801,0,Running,-20.783,0,,2:22.399,2:21.677,8,13,19,45,100,0
9,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,329240,329240,Kirill Kolobuxov,12,555,0,Running,-25.437,0,,2:22.757,2:21.860,13,13,17,35,100,0
10,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,310532,310532,Lewis Ward,13,97,0,Running,-26.114,0,,2:22.809,2:21.870,5,13,18,34,100,0
11,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,365706,365706,Michael Pedersen3,17,199,0,Running,-29.096,0,,2:23.038,2:21.739,7,13,19,33,100,0
12,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,138514,138514,Artem Grabow,15,43,0,Running,-32.709,0,,2:23.316,2:21.847,12,13,13,32,100,0
13,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,174512,174512,Ryan Parkins,21,225,0,Running,-34.869,0,,2:23.482,2:22.271,5,13,11,31,100,0
14,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,322065,322065,Jose Manuel Padin,16,119,0,Running,-45.925,0,,2:24.333,2:22.844,4,13,19,30,100,0
15,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,427539,427539,Matias Birk,22,12,0,Running,-58.514,0,,2:25.301,2:22.812,12,13,6,29,100,0
16,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,84986,84986,Oscar Wilkens,14,33,0,Running,-1:02.251,0,,2:25.589,2:22.114,3,13,18,28,100,0
17,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,342188,342188,Tobias Maisel,23,15,0,Running,-1:04.162,0,,2:25.735,2:23.419,13,13,18,27,100,0
18,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,331615,331615,Hugo Gallo,26,23,0,Running,-1:05.609,0,,2:25.846,2:23.381,11,13,14,26,100,0
19,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,425868,425868,Mark Jones12,28,77,0,Running,-1:08.403,0,,2:26.061,2:24.063,11,13,18,25,100,0
20,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,229161,229161,Martin Donati,24,17,0,Running,-1:09.055,0,,2:26.111,2:23.206,11,13,9,24,100,0
21,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,466380,466380,Gavin Halls,19,38,0,Running,-1:11.447,0,,2:26.296,2:22.659,10,13,17,23,100,0
22,88,Porsche 911 GT3 Cup (991),0,Hosted All Cars Class,346133,346133,Tristan Martz,29,18,0,Running,-1:14.598,0,,2:26.537,2:23.966,4,13,13,22,100,0
