"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","106","Dallara F3","0","Hosted All Cars Class","388305","388305","Christopher Lulham","0","12","0","Running","-00.000","0","2:09.441","2:09.763","2:09.441","5","6","12","","100","0"
"2","106","Dallara F3","0","Hosted All Cars Class","358202","358202","Gordon Mutch","0","506","0","Running","-00.534","0","2:09.976","2:10.254","2:09.976","3","5","7","","100","0"
"3","106","Dallara F3","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","14","0","Running","-00.675","0","2:10.117","2:10.611","2:10.117","8","8","6","","100","0"
"4","106","Dallara F3","0","Hosted All Cars Class","310702","310702","Alex Bennett","0","11","0","Running","-00.942","0","2:10.384","2:10.867","2:10.384","7","7","4","","100","0"
"5","106","Dallara F3","0","Hosted All Cars Class","255080","255080","Christoph Holstein","0","9","0","Running","-01.102","0","2:10.544","2:11.189","2:10.544","8","8","3","","100","0"
"6","106","Dallara F3","0","Hosted All Cars Class","380916","380916","James J Pinsker","0","86","0","Running","-01.352","0","2:10.793","2:12.085","2:10.793","2","6","4","","100","0"
"7","106","Dallara F3","0","Hosted All Cars Class","107562","107562","Nicklas Rasmussen","0","71","0","Running","-01.487","0","2:10.929","2:11.370","2:10.929","2","7","4","","100","0"
"8","106","Dallara F3","0","Hosted All Cars Class","322424","322424","Matthew Crisp","0","18","0","Running","-01.605","0","2:11.046","2:11.270","2:11.046","10","10","6","","100","0"
"9","106","Dallara F3","0","Hosted All Cars Class","383295","383295","Kevin Zwemstra","0","25","0","Running","-01.640","0","2:11.082","2:11.190","2:11.082","8","8","10","","100","0"
"10","106","Dallara F3","0","Hosted All Cars Class","121969","121969","James Thewlis","0","13","0","Running","-01.896","0","2:11.338","2:11.637","2:11.338","7","8","6","","100","0"
"11","106","Dallara F3","0","Hosted All Cars Class","381169","381169","Jacco van der Plaat","0","57","0","Running","-01.937","0","2:11.379","2:11.543","2:11.379","5","8","17","","100","0"
"12","106","Dallara F3","0","Hosted All Cars Class","389360","389360","Josh Clogg","0","99","0","Running","-02.181","0","2:11.623","2:11.830","2:11.623","6","8","3","","100","0"
"13","106","Dallara F3","0","Hosted All Cars Class","229161","229161","Martin Donati","0","15","0","Running","-02.181","0","2:11.623","2:12.345","2:11.623","7","8","5","","100","0"
