"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","106","Dallara F3","0","Hosted All Cars Class","260835","260835","Chris Lulham","0","20","0","Running","-00.000","0","1:48.965","1:49.877","1:48.965","5","13","2","","100","0"
"2","106","Dallara F3","0","Hosted All Cars Class","107562","107562","Nicklas Rasmussen","0","71","0","Running","-00.052","0","1:49.017","1:49.699","1:49.017","10","11","2","","100","0"
"3","106","Dallara F3","0","Hosted All Cars Class","335473","335473","Christophe Herbigneaux","0","92","0","Running","-00.054","0","1:49.019","1:50.376","1:49.019","10","11","5","","100","0"
"4","106","Dallara F3","0","Hosted All Cars Class","380916","380916","James J Pinsker","0","86","0","Running","-00.287","0","1:49.252","1:53.378","1:49.252","10","12","3","","100","0"
"5","106","Dallara F3","0","Hosted All Cars Class","349143","349143","Sam Kuitert","0","14","0","Running","-00.290","0","1:49.256","1:49.710","1:49.256","10","10","6","","100","0"
"6","106","Dallara F3","0","Hosted All Cars Class","355420","355420","Tom Walstra","0","70","0","Running","-00.467","0","1:49.432","1:49.722","1:49.432","6","6","9","","100","0"
"7","106","Dallara F3","0","Hosted All Cars Class","310702","310702","Alex Bennett","0","11","0","Running","-00.529","0","1:49.494","1:49.907","1:49.494","4","11","4","","100","0"
"8","106","Dallara F3","0","Hosted All Cars Class","383295","383295","Kevin Zwemstra","0","25","0","Running","-00.729","0","1:49.694","1:50.019","1:49.694","4","11","10","","100","0"
"9","106","Dallara F3","0","Hosted All Cars Class","389360","389360","Josh Clogg","0","99","0","Running","-00.788","0","1:49.753","1:50.367","1:49.753","7","9","2","","100","0"
"10","106","Dallara F3","0","Hosted All Cars Class","381169","381169","Jacco van der Plaat","0","57","0","Running","-00.805","0","1:49.770","1:50.286","1:49.770","7","10","5","","100","0"
"11","106","Dallara F3","0","Hosted All Cars Class","322424","322424","Matthew Crisp","0","18","0","Running","-00.935","0","1:49.900","1:50.698","1:49.900","11","13","4","","100","0"
"12","106","Dallara F3","0","Hosted All Cars Class","205731","205731","Matt Emery","0","34","0","Running","-00.965","0","1:49.930","1:50.517","1:49.930","9","9","11","","100","0"
"13","106","Dallara F3","0","Hosted All Cars Class","229161","229161","Martin Donati","0","15","0","Running","-01.452","0","1:50.417","1:52.192","1:50.417","5","8","8","","100","0"
"14","106","Dallara F3","0","Hosted All Cars Class","121969","121969","James Thewlis","0","13","0","Running","-01.487","0","1:50.452","1:53.158","1:50.452","2","8","6","","100","0"
"15","106","Dallara F3","0","Hosted All Cars Class","102801","102801","Konstantinos Sidiras","0","21","0","Running","-02.334","0","1:51.299","1:51.750","1:51.299","7","7","6","","100","0"
"16","106","Dallara F3","0","Hosted All Cars Class","401554","401554","Stephen Grabowski","0","44","0","Running","-02.464","0","1:51.429","1:51.900","1:51.429","5","5","3","","100","0"
"17","106","Dallara F3","0","Hosted All Cars Class","222283","222283","Dries Vandenryt3","0","8","0","Running","-00.000","0","","00.000","","","0","0","","100","0"
