"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","106","Dallara F3","0","Hosted All Cars Class","260835","260835","Chris Lulham","1","20","0","Running","-00.000","21","","1:50.787","1:49.242","14","22","3","0","100","0"
"2","106","Dallara F3","0","Hosted All Cars Class","349143","349143","Sam Kuitert","5","14","0","Running","-06.240","1","","1:51.070","1:49.376","18","22","11","0","100","0"
"3","106","Dallara F3","0","Hosted All Cars Class","380916","380916","James J Pinsker","4","86","0","Running","-08.781","0","","1:51.186","1:49.350","11","22","8","0","100","0"
"4","106","Dallara F3","0","Hosted All Cars Class","107562","107562","Nicklas Rasmussen","2","71","0","Running","-13.648","0","","1:51.407","1:49.794","15","22","8","0","100","0"
"5","106","Dallara F3","0","Hosted All Cars Class","355420","355420","Tom Walstra","6","70","0","Running","-21.824","0","","1:51.779","1:49.840","10","22","10","0","100","0"
"6","106","Dallara F3","0","Hosted All Cars Class","389360","389360","Josh Clogg","9","99","0","Running","-25.072","0","","1:51.926","1:50.090","9","22","0","0","100","0"
"7","106","Dallara F3","0","Hosted All Cars Class","310702","310702","Alex Bennett","7","11","0","Running","-33.186","0","","1:52.295","1:49.699","18","22","10","0","100","0"
"8","106","Dallara F3","0","Hosted All Cars Class","383295","383295","Kevin Zwemstra","8","25","0","Running","-33.640","0","","1:52.316","1:49.759","21","22","10","0","100","0"
"9","106","Dallara F3","0","Hosted All Cars Class","229161","229161","Martin Donati","13","15","0","Running","-38.841","0","","1:52.552","1:50.416","21","22","3","0","100","0"
"10","106","Dallara F3","0","Hosted All Cars Class","205731","205731","Matt Emery","12","34","0","Running","-41.974","0","","1:52.694","1:50.059","19","22","10","0","100","0"
"11","106","Dallara F3","0","Hosted All Cars Class","322424","322424","Matthew Crisp","11","18","0","Running","-43.427","0","","1:52.760","1:50.236","22","22","6","0","100","0"
"12","106","Dallara F3","0","Hosted All Cars Class","381169","381169","Jacco van der Plaat","10","57","0","Running","-1:07.707","0","","1:53.864","1:50.312","21","22","10","0","100","0"
"13","106","Dallara F3","0","Hosted All Cars Class","102801","102801","Konstantinos Sidiras","15","21","0","Running","-1:26.139","0","","1:54.702","1:50.996","18","22","12","0","100","0"
"14","106","Dallara F3","0","Hosted All Cars Class","401554","401554","Stephen Grabowski","16","44","29","Disqualified","-10 L","0","","1:59.503","1:51.654","6","12","15","0","100","0"
"15","106","Dallara F3","0","Hosted All Cars Class","335473","335473","Christophe Herbigneaux","3","92","32","Disconnected","-20 L","0","","1:56.964","","","2","1","0","100","0"
"16","106","Dallara F3","0","Hosted All Cars Class","121969","121969","James Thewlis","14","13","32","Disconnected","-21 L","0","","2:12.295","","","1","2","0","100","0"
"17","106","Dallara F3","0","Hosted All Cars Class","222283","222283","Dries Vandenryt3","17","8","32","Disconnected","-22 L","0","","00.000","","","0","0","0","100","0"
